SL.NO,DESCRIPTION,RESPONSIBLE_AGENCY,QTY,DURATION,WEIGHT_KG,TOTAL_WEIGHT_KG,UNIT_RATE_INR,TOTAL_BUDGET,DATE,PROJECT_NAME,APPROVED_BY,CURRENCY
15,Complete manufacturing of Shaft I for ESP,Sub Contractor,22791,Monthly,3.31,75438.21,1775.34,40461773.94,2025-01-19,BHEL Trichy T2,Srividhya,INR
16,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,14746,One time,11.62,171348.52,1909.94,28163975.24,2025-03-24,BHEL Haridwar P3,Srividhya,INR
17,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,17135,One time,21.83,374057.05,631.97,10828805.95,2024-11-23,BHEL Haridwar P3,Kumar,INR
18,Complete manufacturing of Shaft for ESP,Tetakisu,12752,One time,13.71,174829.92,1568.32,19999216.64,2024-09-28,BHEL Ranipet L1,Kumar,INR
19,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,1138,One time,23.26,26469.88,1763.51,2006874.38,2025-03-01,BHEL Trichy T2,Magesh,INR
20,Complete manufacturing of Grip Coupling for ESP,Tetakisu,19091,One time,2.6,49636.6,997.68,19046708.88,2024-02-05,BHEL Haridwar P3,Magesh,INR
21,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,18515,One time,6.99,129419.85,1751.24,32424208.6,2024-08-04,BHEL Ranipet L1,Kumar,INR
22,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,23861,Quarterly,10.28,245291.08,1359.79,32445949.19,2024-07-10,BHEL Trichy T2,Kumar,INR
23,Complete manufacturing of Bearings for ESP,Sub Contractor,8623,One time,2.07,17849.61,91.02,784865.46,2024-10-10,BHEL Ranipet L1,Kumar,INR
24,Complete manufacturing of Shaft for ESP,Sub Contractor,2826,Monthly,15.96,45102.96,496.44,1402939.44,2024-01-17,BHEL Trichy T2,Mani,INR
25,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,9625,Monthly,12.39,119253.75,1101.51,10602033.75,2025-01-05,BHEL Haridwar P3,Kumar,INR
26,Complete manufacturing of Bearings for ESP,Tetakisu,15998,Quarterly,5.17,82709.66,239.02,3823841.96,2024-08-08,BHEL Trichy T2,Ravi,INR
27,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,24390,One time,17.0,414630.0,1969.12,48026836.8,2024-02-20,BHEL Ranipet L1,Ravi,INR
28,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,4080,One time,5.19,21175.2,1095.76,4470700.8,2024-03-12,BHEL Trichy T2,Magesh,INR
29,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,8685,One time,11.36,98661.6,1729.63,15021836.55,2024-10-08,BHEL Ranipet L1,Mani,INR
30,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,3556,One time,4.57,16250.92,997.0,3545332.0,2024-04-19,BHEL Trichy T2,Mani,INR
31,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,570,Quarterly,7.0,3990.0,1578.94,899995.8,2024-08-20,BHEL Trichy T2,Ravi,INR
32,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,5572,One time,7.77,43294.44,1938.98,10803996.56,2024-10-23,BHEL Haridwar P3,Kumar,INR
33,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,2373,One time,14.81,35144.13,1030.56,2445518.88,2025-03-12,BHEL Haridwar P3,Magesh,INR
34,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,6589,One time,15.08,99362.12,1366.66,9004922.74,2024-04-30,BHEL Trichy T2,Mani,INR
35,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,19470,Monthly,1.47,28620.9,209.87,4086168.9,2024-12-02,BHEL Haridwar P3,Kumar,INR
36,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,9044,One time,16.91,152934.04,662.66,5993097.04,2024-05-15,BHEL Trichy T2,Magesh,INR
37,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,15482,Quarterly,23.26,360111.32,1874.68,29023795.76,2024-01-05,BHEL Trichy T2,Kumar,INR
38,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,2900,Monthly,5.72,16588.0,567.14,1644706.0,2024-06-27,BHEL Ranipet L1,Magesh,INR
39,Complete manufacturing of Shaft I for ESP,Cando Engineering,5669,Quarterly,20.93,118652.17,1421.9,8060751.1,2024-11-09,BHEL Haridwar P3,Kumar,INR
40,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,22237,One time,23.5,522569.5,311.87,6935053.19,2024-02-29,BHEL Ranipet L1,Kumar,INR
41,Complete manufacturing of Shaft for ESP,Cando Engineering,9732,Monthly,5.66,55083.12,718.62,6993609.84,2024-12-17,BHEL Haridwar P3,Srividhya,INR
42,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,8728,One time,2.76,24089.28,875.97,7645466.16,2024-05-21,BHEL Ranipet L1,Mani,INR
43,Complete manufacturing of Shaft I for ESP,Tetakisu,21376,Quarterly,4.46,95336.96,911.58,19485934.08,2024-12-27,BHEL Trichy T2,Kumar,INR
44,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,2965,Monthly,22.65,67157.25,1113.9,3302713.5,2025-03-03,BHEL Trichy T2,Kumar,INR
45,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,14583,One time,1.52,22166.16,761.07,11098683.81,2025-02-11,BHEL Ranipet L1,Srividhya,INR
46,Complete manufacturing of Shaft for ESP,Tetakisu,22354,One time,9.17,204986.18,1141.77,25523126.58,2025-03-23,BHEL Trichy T2,Kumar,INR
47,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,8257,One time,24.42,201635.94,1631.0,13467167.0,2024-07-30,BHEL Ranipet L1,Magesh,INR
48,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,13991,Monthly,21.67,303184.97,1630.96,22818761.36,2024-05-16,BHEL Ranipet L1,Mani,INR
49,Complete manufacturing of Bearings for ESP,Sub Contractor,15923,One time,5.39,85824.97,1840.98,29313924.54,2024-06-28,BHEL Trichy T2,Magesh,INR
50,Complete manufacturing of Shaft for ESP,Sub Contractor,22127,One time,10.26,227023.02,593.28,13127506.56,2024-02-05,BHEL Trichy T2,Srividhya,INR
51,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,22766,Monthly,8.61,196015.26,103.82,2363566.12,2025-03-25,BHEL Trichy T2,Magesh,INR
52,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,1753,One time,15.12,26505.36,724.09,1269329.77,2025-02-06,BHEL Trichy T2,Ravi,INR
53,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,13122,Monthly,5.16,67709.52,136.55,1791809.1,2024-08-11,BHEL Ranipet L1,Kumar,INR
54,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,12434,Quarterly,2.21,27479.14,1345.26,16726962.84,2024-06-18,BHEL Haridwar P3,Srividhya,INR
55,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,24084,Quarterly,12.92,311165.28,1350.44,32523996.96,2024-06-16,BHEL Trichy T2,Srividhya,INR
56,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,6786,Quarterly,16.79,113936.94,789.33,5356393.38,2025-01-18,BHEL Ranipet L1,Kumar,INR
57,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,13806,Monthly,20.93,288959.58,642.56,8871183.36,2024-04-17,BHEL Trichy T2,Kumar,INR
58,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,15736,Quarterly,11.33,178288.88,466.72,7344305.92,2024-08-30,BHEL Haridwar P3,Magesh,INR
59,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,9799,Monthly,16.76,164231.24,1257.56,12322830.44,2024-02-17,BHEL Ranipet L1,Srividhya,INR
60,Complete manufacturing of Shaft for ESP,Tetakisu,5328,One time,1.63,8684.64,1968.68,10489127.04,2024-11-08,BHEL Ranipet L1,Ravi,INR
61,Complete manufacturing of Bearings for ESP,Tetakisu,24038,Monthly,9.91,238216.58,829.32,19935194.16,2024-03-16,BHEL Haridwar P3,Mani,INR
62,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,14431,One time,4.81,69413.11,1918.03,27679090.93,2024-09-22,BHEL Trichy T2,Mani,INR
63,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,4476,Quarterly,3.77,16874.52,956.05,4279279.8,2024-09-28,BHEL Haridwar P3,Kumar,INR
64,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,20575,Monthly,22.35,459851.25,882.14,18150030.5,2024-10-07,BHEL Trichy T2,Magesh,INR
65,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,15247,Quarterly,18.92,288473.24,1687.73,25732819.31,2024-05-21,BHEL Haridwar P3,Ravi,INR
66,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,9498,Quarterly,2.4,22795.2,607.17,5766900.66,2024-05-19,BHEL Trichy T2,Srividhya,INR
67,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,5034,One time,6.17,31059.78,1403.2,7063708.8,2024-12-27,BHEL Ranipet L1,Mani,INR
68,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,11342,Monthly,11.92,135196.64,171.42,1944245.64,2025-03-02,BHEL Trichy T2,Ravi,INR
69,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,19364,Quarterly,12.19,236047.16,1888.35,36566009.4,2024-06-01,BHEL Trichy T2,Ravi,INR
70,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,16498,One time,7.19,118620.62,997.0,16448506.0,2024-07-18,BHEL Trichy T2,Ravi,INR
71,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,15815,One time,24.53,387941.95,1091.54,17262705.1,2024-07-20,BHEL Haridwar P3,Kumar,INR
72,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,3250,Monthly,11.0,35750.0,1740.36,5656170.0,2024-04-03,BHEL Ranipet L1,Srividhya,INR
73,Complete manufacturing of Bearings for ESP,Cando Engineering,7435,Quarterly,8.51,63271.85,1534.4,11408264.0,2024-07-13,BHEL Trichy T2,Ravi,INR
74,Complete manufacturing of Shaft I for ESP,Sub Contractor,15911,One time,18.85,299922.35,151.57,2411630.27,2024-06-28,BHEL Ranipet L1,Mani,INR
75,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,1516,One time,5.38,8156.08,89.74,136045.84,2024-03-19,BHEL Ranipet L1,Magesh,INR
76,Complete manufacturing of Bearings for ESP,Sub Contractor,18980,One time,11.89,225672.2,549.68,10432926.4,2024-07-07,BHEL Ranipet L1,Kumar,INR
77,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,5866,Quarterly,3.15,18477.9,100.07,587010.62,2024-06-08,BHEL Haridwar P3,Ravi,INR
78,Complete manufacturing of Bearings for ESP,Tetakisu,2990,Monthly,17.42,52085.8,1273.12,3806628.8,2024-02-22,BHEL Haridwar P3,Srividhya,INR
79,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,19044,One time,9.01,171586.44,885.34,16860414.96,2024-07-08,BHEL Ranipet L1,Kumar,INR
80,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,914,Quarterly,20.65,18874.1,255.8,233801.2,2024-07-04,BHEL Haridwar P3,Ravi,INR
81,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,14770,One time,18.48,272949.6,1932.67,28545535.9,2024-05-18,BHEL Haridwar P3,Kumar,INR
82,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,15732,Quarterly,20.73,326124.36,1205.33,18962251.56,2024-06-14,BHEL Ranipet L1,Mani,INR
83,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,8490,Quarterly,14.46,122765.4,1352.97,11486715.3,2024-06-21,BHEL Ranipet L1,Ravi,INR
84,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,6458,Quarterly,5.7,36810.6,1605.77,10370062.66,2024-06-23,BHEL Trichy T2,Kumar,INR
85,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,18712,One time,13.16,246249.92,422.56,7906942.72,2024-05-03,BHEL Haridwar P3,Ravi,INR
86,Complete manufacturing of Bearings for ESP,Tetakisu,23129,Quarterly,16.32,377465.28,1007.1,23293215.9,2025-02-09,BHEL Ranipet L1,Mani,INR
87,Complete manufacturing of Shaft I for ESP,Tetakisu,13751,Monthly,6.46,88831.46,1344.72,18491244.72,2024-07-07,BHEL Trichy T2,Kumar,INR
88,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,14442,Monthly,13.98,201899.16,736.03,10629745.26,2024-08-20,BHEL Trichy T2,Srividhya,INR
89,Complete manufacturing of Shaft I for ESP,Tetakisu,4453,Monthly,5.22,23244.66,283.13,1260777.89,2024-10-01,BHEL Haridwar P3,Magesh,INR
90,Complete manufacturing of Shaft for ESP,Tetakisu,24702,Quarterly,7.27,179583.54,1199.69,29634742.38,2025-01-24,BHEL Haridwar P3,Kumar,INR
91,Complete manufacturing of Shaft I for ESP,Sub Contractor,6860,Quarterly,6.07,41640.2,399.91,2743382.6,2024-01-08,BHEL Haridwar P3,Kumar,INR
92,Complete manufacturing of Shaft for ESP,Cando Engineering,1991,One time,14.06,27993.46,1409.96,2807230.36,2024-03-05,BHEL Haridwar P3,Ravi,INR
93,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,19310,Quarterly,12.0,231720.0,908.91,17551052.1,2024-04-04,BHEL Ranipet L1,Srividhya,INR
94,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,4238,One time,10.32,43736.16,194.46,824121.48,2024-11-18,BHEL Haridwar P3,Mani,INR
95,Complete manufacturing of Shaft for ESP,Tetakisu,18943,Quarterly,2.59,49062.37,533.97,10114993.71,2024-10-12,BHEL Trichy T2,Kumar,INR
96,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,17623,Quarterly,11.54,203369.42,913.31,16095262.13,2025-03-16,BHEL Haridwar P3,Ravi,INR
97,Complete manufacturing of Shaft I for ESP,Sub Contractor,20476,Monthly,2.93,59994.68,1537.34,31478573.84,2024-11-16,BHEL Ranipet L1,Srividhya,INR
98,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,5646,One time,4.76,26874.96,196.38,1108761.48,2024-01-02,BHEL Trichy T2,Ravi,INR
99,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,10043,One time,6.17,61965.31,1428.56,14347028.08,2024-12-25,BHEL Trichy T2,Mani,INR
100,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,9168,Monthly,14.95,137061.6,1617.62,14830340.16,2024-04-11,BHEL Trichy T2,Mani,INR
101,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,21721,One time,22.76,494369.96,1661.93,36098781.53,2024-02-06,BHEL Ranipet L1,Magesh,INR
102,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,19998,Monthly,20.69,413758.62,1846.33,36922907.34,2024-08-12,BHEL Ranipet L1,Ravi,INR
103,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,23428,Quarterly,23.6,552900.8,1025.92,24035253.76,2024-09-09,BHEL Trichy T2,Mani,INR
104,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,14656,Monthly,8.4,123110.4,538.22,7888152.32,2024-02-16,BHEL Ranipet L1,Kumar,INR
105,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,22529,Quarterly,14.62,329373.98,1538.06,34650953.74,2024-03-30,BHEL Trichy T2,Kumar,INR
106,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,9614,One time,24.93,239677.02,899.98,8652407.72,2025-02-20,BHEL Trichy T2,Mani,INR
107,Complete manufacturing of Bearings for ESP,Cando Engineering,13880,Quarterly,8.37,116175.6,253.97,3525103.6,2024-03-23,BHEL Trichy T2,Ravi,INR
108,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,9944,Monthly,23.66,235275.04,1636.45,16272858.8,2024-10-08,BHEL Ranipet L1,Ravi,INR
109,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,8770,Quarterly,3.34,29291.8,1556.47,13650241.9,2025-03-18,BHEL Haridwar P3,Mani,INR
110,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,14041,One time,5.1,71609.1,755.47,10607554.27,2025-01-22,BHEL Trichy T2,Ravi,INR
111,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,7170,Quarterly,13.96,100093.2,1858.96,13328743.2,2024-08-12,BHEL Haridwar P3,Ravi,INR
112,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,21144,Monthly,20.08,424571.52,1434.08,30322187.52,2024-06-08,BHEL Haridwar P3,Mani,INR
113,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,3554,One time,24.81,88174.74,1830.21,6504566.34,2024-08-24,BHEL Ranipet L1,Magesh,INR
114,Complete manufacturing of Bearings for ESP,Cando Engineering,17174,Monthly,7.2,123652.8,1677.71,28812991.54,2024-08-29,BHEL Ranipet L1,Ravi,INR
115,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,13069,One time,23.09,301763.21,1041.07,13605743.83,2025-03-26,BHEL Ranipet L1,Mani,INR
116,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,11637,Monthly,7.05,82040.85,55.0,640035.0,2025-01-06,BHEL Trichy T2,Kumar,INR
117,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,5369,Quarterly,13.7,73555.3,722.99,3881733.31,2024-10-09,BHEL Haridwar P3,Ravi,INR
118,Complete manufacturing of Bearings for ESP,Cando Engineering,6681,Monthly,6.35,42424.35,796.79,5323353.99,2025-03-14,BHEL Trichy T2,Mani,INR
119,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,23608,Quarterly,9.96,235135.68,1344.19,31733637.52,2025-02-24,BHEL Haridwar P3,Magesh,INR
120,Complete manufacturing of Bearings for ESP,Sub Contractor,4636,Monthly,24.15,111959.4,697.39,3233100.04,2024-02-21,BHEL Trichy T2,Mani,INR
121,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,1002,Monthly,4.03,4038.06,1748.32,1751816.64,2024-03-20,BHEL Ranipet L1,Ravi,INR
122,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,11593,Monthly,17.47,202529.71,1317.18,15270067.74,2025-03-12,BHEL Trichy T2,Kumar,INR
123,Complete manufacturing of Bearings for ESP,Cando Engineering,21038,Monthly,22.24,467885.12,1001.5,21069557.0,2024-10-04,BHEL Ranipet L1,Kumar,INR
124,Complete manufacturing of Grip Coupling for ESP,Tetakisu,21181,Monthly,23.06,488433.86,1994.98,42255671.38,2025-01-17,BHEL Ranipet L1,Ravi,INR
125,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,15038,One time,17.5,263165.0,1811.68,27244043.84,2024-01-24,BHEL Trichy T2,Mani,INR
126,Complete manufacturing of Shaft I for ESP,Cando Engineering,12782,Quarterly,4.07,52022.74,1085.77,13878312.14,2024-10-16,BHEL Haridwar P3,Magesh,INR
127,Complete manufacturing of Shaft for ESP,Tetakisu,3087,Monthly,21.84,67420.08,1258.44,3884804.28,2024-05-03,BHEL Trichy T2,Kumar,INR
128,Complete manufacturing of Shaft for ESP,Tetakisu,15610,Monthly,6.72,104899.2,547.89,8552562.9,2024-01-05,BHEL Trichy T2,Srividhya,INR
129,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,2920,Quarterly,23.66,69087.2,1975.92,5769686.4,2024-06-02,BHEL Haridwar P3,Ravi,INR
130,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,15469,Quarterly,5.38,83223.22,800.15,12377520.35,2024-09-04,BHEL Ranipet L1,Magesh,INR
131,Complete manufacturing of Bearings for ESP,Cando Engineering,19335,Quarterly,24.82,479894.7,625.7,12097909.5,2025-02-28,BHEL Haridwar P3,Ravi,INR
132,Complete manufacturing of Shaft I for ESP,Sub Contractor,19044,Monthly,19.57,372691.08,1948.53,37107805.32,2024-11-06,BHEL Haridwar P3,Ravi,INR
133,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,8040,Monthly,20.15,162006.0,477.06,3835562.4,2024-04-07,BHEL Haridwar P3,Srividhya,INR
134,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,21086,One time,22.63,477176.18,1310.36,27630250.96,2024-06-07,BHEL Trichy T2,Mani,INR
135,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,24497,One time,2.71,66386.87,625.47,15322138.59,2025-01-17,BHEL Trichy T2,Magesh,INR
136,Complete manufacturing of Shaft for ESP,Tetakisu,18175,Quarterly,13.51,245544.25,1831.3,33283877.5,2025-03-01,BHEL Ranipet L1,Srividhya,INR
137,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,10171,Monthly,21.82,221931.22,1618.25,16459220.75,2024-08-27,BHEL Ranipet L1,Magesh,INR
138,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,22661,Monthly,17.02,385690.22,824.95,18694191.95,2025-03-09,BHEL Haridwar P3,Srividhya,INR
139,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,956,Quarterly,13.65,13049.4,936.83,895609.48,2024-12-10,BHEL Haridwar P3,Srividhya,INR
140,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,21423,Quarterly,3.15,67482.45,505.95,10838966.85,2024-01-13,BHEL Haridwar P3,Kumar,INR
141,Complete manufacturing of Shaft I for ESP,Tetakisu,21722,One time,16.07,349072.54,955.32,20751461.04,2024-12-24,BHEL Trichy T2,Ravi,INR
142,Complete manufacturing of Grip Coupling for ESP,Tetakisu,1985,One time,7.96,15800.6,1010.62,2006080.7,2024-02-19,BHEL Ranipet L1,Kumar,INR
143,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,15364,Quarterly,16.93,260112.52,1499.12,23032479.68,2024-10-03,BHEL Trichy T2,Kumar,INR
144,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,14094,Monthly,2.93,41295.42,1004.23,14153617.62,2024-07-27,BHEL Trichy T2,Mani,INR
145,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,7619,Quarterly,11.4,86856.6,510.42,3888889.98,2024-07-04,BHEL Ranipet L1,Srividhya,INR
146,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,2484,Quarterly,7.26,18033.84,1938.0,4813992.0,2025-03-10,BHEL Trichy T2,Mani,INR
147,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,21527,Monthly,15.13,325703.51,91.65,1972949.55,2025-02-06,BHEL Trichy T2,Magesh,INR
148,Complete manufacturing of Shaft for ESP,Tetakisu,2748,Monthly,5.58,15333.84,471.11,1294610.28,2025-03-21,BHEL Ranipet L1,Srividhya,INR
149,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,20029,One time,7.29,146011.41,1968.85,39434096.65,2024-03-07,BHEL Haridwar P3,Srividhya,INR
150,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,4102,Monthly,21.73,89136.46,307.02,1259396.04,2024-07-02,BHEL Ranipet L1,Kumar,INR
151,Complete manufacturing of Shaft I for ESP,Sub Contractor,6209,Quarterly,1.78,11052.02,1496.35,9290837.15,2024-09-26,BHEL Ranipet L1,Mani,INR
152,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,12363,Monthly,15.04,185939.52,931.41,11515021.83,2024-04-23,BHEL Haridwar P3,Mani,INR
153,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,15509,Monthly,24.12,374077.08,168.61,2614972.49,2024-09-02,BHEL Trichy T2,Ravi,INR
154,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,16565,Monthly,22.79,377516.35,193.31,3202180.15,2024-02-11,BHEL Trichy T2,Kumar,INR
155,Complete manufacturing of Shaft for ESP,Sub Contractor,4635,Quarterly,15.8,73233.0,1191.46,5522417.1,2024-12-30,BHEL Trichy T2,Ravi,INR
156,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,15367,Monthly,15.33,235576.11,243.4,3740327.8,2024-12-25,BHEL Ranipet L1,Kumar,INR
157,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,14592,Quarterly,22.26,324817.92,856.94,12504468.48,2025-02-27,BHEL Trichy T2,Ravi,INR
158,Complete manufacturing of Bearings for ESP,Sub Contractor,10741,Quarterly,8.16,87646.56,547.04,5875756.64,2024-03-19,BHEL Haridwar P3,Ravi,INR
159,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,3297,One time,11.08,36530.76,1501.95,4951929.15,2024-07-09,BHEL Ranipet L1,Kumar,INR
160,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,22454,One time,10.56,237114.24,1753.53,39373762.62,2025-01-19,BHEL Trichy T2,Mani,INR
161,Complete manufacturing of Shaft I for ESP,Cando Engineering,12022,One time,14.66,176242.52,464.84,5588306.48,2024-12-02,BHEL Trichy T2,Magesh,INR
